Generation,Total Cost,Munchen,Munchen_battery,Bulgaria,Bulgaria_battery,Bulgaria-Munchen,Italy,Italy_battery,Italy-Munchen,Spain,Spain_battery,Spain-Munchen,VlakteRaan,VlakteRaan_battery,VlakteRaan-Munchen,Arkona,Arkona_battery,Arkona-Munchen
1,8925000,300,2000,200,500,500,100,100,500,2000,2000,2000,1000,2000,500,100,100,500
2,7227000,200,2000,300,500,500,0,500,500,2000,2000,500,1000,2000,500,0,0,500
3,6872977,100,1950,900,0,0,1000,1000,500,1000,500,500,500,0,500,500,0,500
4,6056000,0,2000,500,500,500,500,1000,500,1000,500,450,500,0,500,500,0,500
5,6041300,0,1950,500,500,500,500,1000,500,1000,500,450,500,0,500,500,0,500
6,5853100,0,2000,500,500,500,500,1000,500,1000,500,500,400,0,490,500,0,400
7,5699640,0,2000,500,500,500,500,1010,500,1000,500,500,400,0,500,400,0,500
8,5541360,0,2000,400,500,450,500,1000,500,1000,490,450,400,0,500,400,0,500
9,5360100,0,2000,500,50,100,1000,1000,500,950,500,450,350,0,500,410,0,500
10,5272260,0,2000,500,50,100,900,1000,500,950,490,400,400,0,490,400,0,400
11,5194810,0,2050,500,50,100,950,1000,500,1000,490,400,300,0,490,400,50,500
12,5085510,0,2050,500,50,100,950,1050,500,1000,490,400,300,0,440,400,50,300
13,5050910,0,2050,500,50,100,950,1050,500,1000,490,400,300,0,400,400,0,300
14,4982280,0,2060,490,0,200,900,1010,400,950,490,400,300,0,390,400,0,300
15,4936800,0,2000,450,50,100,900,1000,450,900,550,350,350,0,390,400,0,300
16,4909200,0,2050,400,40,100,950,1000,450,1000,450,350,350,0,400,350,100,300
17,4821540,0,2000,490,100,200,900,1110,300,950,490,300,300,0,390,400,0,300
18,4780890,50,2000,490,100,200,900,1110,300,950,490,300,300,0,400,350,100,300
19,4702940,10,1990,450,90,200,1000,1010,400,850,450,290,300,10,350,350,0,300
20,4601990,50,2000,490,100,300,900,1110,300,950,490,300,300,0,390,240,10,300
21,4595680,60,2000,490,100,300,900,1110,300,950,490,290,300,0,390,240,10,300
22,4585880,60,2000,490,100,300,900,1110,300,950,590,300,300,10,380,230,10,250
23,4556260,0,1990,490,50,200,900,1100,300,1000,490,300,340,0,400,250,0,200
24,4538650,0,1990,490,50,300,900,1110,300,1050,540,290,300,0,240,240,10,300
25,4491660,0,1990,500,50,300,900,1110,300,1050,540,290,300,0,240,240,0,200
26,4432450,0,1990,590,50,300,900,1110,300,850,490,290,300,0,240,240,50,200
27,4432450,0,1990,590,50,300,900,1110,300,850,490,290,300,0,240,240,50,200
28,4415340,0,1990,480,50,300,900,1160,300,1050,540,240,300,0,190,240,20,200
29,4401960,0,1980,490,40,300,900,1110,300,1050,540,240,300,0,190,240,20,200
30,4396770,0,2090,510,50,250,900,1160,300,1050,540,240,300,0,190,230,20,200
31,4393140,0,1990,480,50,300,900,1160,290,1050,540,230,300,0,190,240,10,200
32,4372270,0,2090,510,50,250,900,1110,300,950,540,240,300,0,190,250,20,200
33,4372270,0,2090,510,50,250,900,1110,300,950,540,240,300,0,190,250,20,200
34,4360470,0,2090,510,50,250,900,1060,300,950,640,240,300,0,190,240,10,200
35,4360470,0,2090,510,50,250,900,1060,300,950,640,240,300,0,190,240,10,200
36,4360470,0,2090,510,50,250,900,1060,300,950,640,240,300,0,190,240,10,200
37,4360470,0,2090,510,50,250,900,1060,300,950,640,240,300,0,190,240,10,200
38,4351470,0,1990,510,50,260,900,1060,300,950,740,240,300,0,190,240,50,200
39,4348270,0,2090,510,50,250,900,1060,300,950,640,230,300,10,190,240,0,200
40,4348270,0,2090,510,50,250,900,1060,300,950,640,230,300,10,190,240,0,200
41,4337270,0,1990,510,50,260,900,1060,310,950,640,230,300,10,180,240,10,210
42,4337270,0,1990,510,50,260,900,1060,310,950,640,230,300,10,180,240,10,210
43,4337270,0,1990,510,50,260,900,1060,310,950,640,230,300,10,180,240,10,210
44,4319220,0,1890,510,100,260,900,1060,300,950,740,240,300,0,190,240,0,150
45,4319220,0,1890,510,100,260,900,1060,300,950,740,240,300,0,190,240,0,150
46,4319220,0,1890,510,100,260,900,1060,300,950,740,240,300,0,190,240,0,150
47,4315660,0,1890,510,60,260,910,1060,300,950,740,240,300,0,190,240,0,150
48,4315660,0,1890,510,60,260,910,1060,300,950,740,240,300,0,190,240,0,150
49,4311960,0,1880,510,160,260,900,1160,300,910,640,230,300,0,190,240,0,180
50,4311960,0,1880,510,160,260,900,1160,300,910,640,230,300,0,190,240,0,180
51,4311960,0,1880,510,160,260,900,1160,300,910,640,230,300,0,190,240,0,180
52,4311960,0,1880,510,160,260,900,1160,300,910,640,230,300,0,190,240,0,180
53,4311960,0,1880,510,160,260,900,1160,300,910,640,230,300,0,190,240,0,180
54,4309460,0,1880,510,160,260,900,1160,300,910,640,230,300,0,190,240,0,150
55,4309000,0,1880,510,50,260,900,1210,300,940,640,240,300,0,180,240,0,150
56,4309000,0,1880,510,50,260,900,1210,300,940,640,240,300,0,180,240,0,150
57,4304100,0,1880,510,50,260,900,1210,300,940,640,240,300,0,170,240,0,150
58,4304100,0,1880,510,50,260,900,1210,300,940,640,240,300,0,170,240,0,150
59,4299660,0,1880,510,170,250,900,1160,300,910,640,240,300,0,170,240,0,150
60,4298410,0,1880,510,170,250,900,1160,300,910,640,240,300,0,180,240,0,150
61,4291540,0,1880,510,160,260,900,1160,300,890,650,240,300,0,170,240,0,150
62,4290820,0,1880,510,170,250,900,1170,300,900,640,240,300,0,170,240,0,150
63,4286930,0,1870,510,160,260,900,1210,290,880,640,240,300,0,170,240,0,150
64,4286240,0,1870,510,160,260,900,1160,300,890,660,240,300,0,160,240,0,150
65,4282030,0,1870,510,160,260,900,1210,290,880,640,240,300,0,160,240,0,150
66,4282030,0,1870,510,160,260,900,1210,290,880,640,240,300,0,160,240,0,150
67,4282030,0,1870,510,160,260,900,1210,290,880,640,240,300,0,160,240,0,150
68,4282030,0,1870,510,160,260,900,1210,290,880,640,240,300,0,160,240,0,150
69,4282030,0,1870,510,160,260,900,1210,290,880,640,240,300,0,160,240,0,150
70,4281630,0,1860,510,160,260,900,1210,290,880,650,240,300,0,160,240,0,150
71,4281630,0,1860,510,160,260,900,1210,290,880,650,240,300,0,160,240,0,150
72,4281630,0,1860,510,160,260,900,1210,290,880,650,240,300,0,160,240,0,150
73,4281630,0,1860,510,160,260,900,1210,290,880,650,240,300,0,160,240,0,150